Orden;Fecha;Mesa;Atendió;Propina;Tipo de Cliente;Sucursal
1;01/02/2014;1;Rodolfo;7%;Cliente Nuevo;La Estancia
2;30/01/2015;17;Mauricio;20%;Cliente Nuevo;La Paz
3;21/04/2014;1;Joel;9%;Cliente Nuevo;Chapultepec
4;09/01/2015;6;Mauricio;20%;Cliente Nuevo;La Paz
5;25/03/2014;2;Valentina;16%;Cliente Repetido;La Paz
6;03/06/2014;5;Omar;6%;Cliente Nuevo;La Paz
7;14/08/2014;4;Joel;17%;Cliente Nuevo;La Estancia
8;31/08/2014;6;Valentina;8%;Cliente Nuevo;La Paz
9;27/11/2014;2;Saul;13%;Cliente Nuevo;La Paz
10;28/12/2014;14;Joel;16%;Cliente Nuevo;Chapultepec
11;12/11/2014;9;Alejandro;7%;Cliente Nuevo;La Paz
12;07/07/2014;12;Rodolfo;17%;Cliente Nuevo;La Paz
13;23/02/2014;12;Rodolfo;15%;Cliente Nuevo;Chapultepec
14;24/01/2015;4;Mauricio;20%;Cliente Nuevo;Chapultepec
15;16/09/2014;10;Saul;17%;Cliente Repetido;La Estancia
16;12/11/2014;8;Valentina;11%;Cliente Nuevo;Chapultepec
17;06/11/2014;2;Alejandro;13%;Cliente Nuevo;La Paz
18;15/08/2014;5;Omar;6%;Cliente Nuevo;La Estancia
19;21/07/2014;14;Valentina;8%;Cliente Repetido;Chapultepec
20;31/03/2014;12;Alejandro;10%;Cliente Nuevo;Chapultepec
21;05/01/2015;16;Mariana;7%;Cliente Nuevo;Chapultepec
22;21/04/2014;9;Saul;8%;Cliente Repetido;Chapultepec
23;20/04/2014;17;Ernesto;15%;Cliente Nuevo;La Estancia
24;20/07/2014;7;Saul;13%;Cliente Nuevo;Chapultepec
25;30/11/2014;13;Saul;5%;Cliente Nuevo;La Estancia
26;22/12/2014;13;Mariana;15%;Cliente Nuevo;Chapultepec
27;28/03/2014;7;Joel;5%;Cliente Nuevo;Chapultepec
28;26/07/2014;14;Ernesto;13%;Cliente Repetido;La Estancia
29;27/01/2015;3;Ernesto;12%;Cliente Nuevo;La Estancia
30;17/06/2014;1;Joel;15%;Cliente Nuevo;La Paz
31;20/02/2014;1;Joel;6%;Cliente Nuevo;La Estancia
32;29/11/2014;16;Mauricio;20%;Cliente Nuevo;La Estancia
33;27/10/2014;13;Joel;5%;Cliente Repetido;La Paz
34;10/12/2014;9;Ernesto;11%;Cliente Nuevo;Chapultepec
35;28/05/2014;7;Valentina;6%;Cliente Repetido;La Estancia
36;06/04/2014;6;Rodolfo;17%;Cliente Repetido;Chapultepec
37;02/11/2014;8;Alejandro;9%;Cliente Repetido;La Estancia
38;06/04/2014;11;Omar;15%;Cliente Repetido;La Paz
39;27/07/2014;10;Omar;14%;Cliente Nuevo;La Paz
40;06/10/2014;5;Ernesto;12%;Cliente Repetido;Chapultepec
41;05/12/2014;16;Mauricio;20%;Cliente Nuevo;La Estancia
